id,capability,domain,historical_sha,historical_pr,current_state,recovery_mode,priority,dependencies,blocked_by,estimated_scope,likely_files,security_rewrite,ui_replay,tests_required,suggested_agent_lane,final_acceptance_required
"RC-01","Case and Work Package operational runtime","Case / Work Package","9eec7bfb4985578c5e8bb0c1767f3140d8c8764f","PR87 lineage; active PR96/98/100","Canonical atomic snapshot exists; active stack restores runtime, compact creation, and workspace block","MERGE_CURRENT_RECOVERY","P0_MERGE_TRAIN","PR96 -> PR98 -> PR100","PR96 authorized release-data inventory","Large stacked train","Backend/src/modules/cases/**; Frontend Case Workspace/New Case","YES","YES","Focused WP PG; cross-client; portal deny; browser 1440/1100/390; central gates","Case/WorkPackage","Exact-head CI plus release-data gate and scenario acceptance"
"RC-02","DOCX/PDF structured comparison","Documents","509412dfc87abe35a764533efe6d133a1ba0b079","PR94","Canonical comparison boundary exists; PR94 restores extraction, diff, and revision behavior","MERGE_CURRENT_RECOVERY","P0_MERGE_TRAIN","PR94 exact-head acceptance","None after exact-head review","Medium","Backend/src/modules/documents/textExtractor.ts; Backend/src/modules/documents/comparison/**","YES","NO","Required Node20 DOCX/PDF tests; extractionRevision PG; central gates","Document/Comparison","Real version scenarios and no document-security regression"
"RC-03","Contextual communication read model","Communications","b36113a9bd0c4dad072fa04e421917f86039cfae","PR83/PR85 lineage","Ledger and inbox exist; safe client/case aggregate is absent","SECURITY_REWRITE_AND_REPLAY","P1_HIGH","PR95 canonical","Dual-linked row authorization and provider-ID DTO rules","Medium","Backend/src/modules/communications/clientSummary.service.ts; routes/tests","YES","YES","Dual-link same-client unreadable-case PG; cross-client; query-count; route/UI","Communication","Central gates plus realistic client/case inbox acceptance"
"RC-04","Communication to canonical Case creation","Communications / Case intake","146539d7116ca90b5ce6086cffe6467ececb6ebe","PR95","Canonical route remains parallel/unsafe; PR95 partly repairs ownership and workforce policy","SECURITY_REWRITE_AND_REPLAY","P0_BLOCKED_P1","WP stack canonical; repaired PR95","PR95 mailboxAddress P1 and Case service overlap","Medium","Backend/src/modules/communications/routes.ts; Backend/src/modules/cases/services.ts","YES","YES","Cross-client substitution; role eligibility; atomic Case/WP PG; sync truth","Communication","Canonical composer proof, central gates, real inbound-to-case scenario"
"RC-05","Internal intake to explicit Portal publication","Portal / Organization / Case","9809c4c1ae1e84c631b7bb57d1688e129d4545f0;35ca0e6b9bb36a502010ac17fcce807042f1ca82","Portal identity/membership lineage","Identity, workspace, grants, and publication exist; explicit internal command is missing","RECONNECT_CURRENT","P1_HIGH","PR92 canonical","Explicit product and audit policy","Medium","Backend/src/modules/client-publication/**; client-workspace/**; portal UI","YES","YES","Cross-workspace/client PG; explicit grant; revocation; portal browser","Portal/Organization","Authorized publication scenario with no implicit exposure"
"RC-06","Typed intake deadline to Agenda","Case intake / Agenda","272945079da871f905e8b56c07a1a915cfb7e128","PR41-era intake lineage","CaseIntakeDeadline persists; Agenda omits it","RECONNECT_CURRENT","P1_HIGH","Current canonical","Projection contract and exact case scope","Small","Backend/src/modules/cases/intakeCreate.service.ts; Backend/src/modules/agenda/service.ts; Frontend/src/app/deadlines/page.tsx","YES","YES","Agenda PG; temporal ordering; cross-case; empty/loading UI","Time/Agenda","Central gates plus deterministic agenda scenario"
"RC-07","Task and Work Package time attribution","Time / Tasks / Work Package","52f8fab47d3a5865efae924b173368832a26e4fe;cb29052edfd6f761f562ffe3c24ddea37d29641f","Time-0 / Time Economics branches","Relations exist; public time route rejects taskId","SEMANTIC_REPLAY","P1_HIGH","PR96/98/100 canonical","Fail-closed attribution and exact task/case auth","Medium","Backend/src/modules/time-attribution/**; Backend/src/routes/timeEntries.ts; task/time UI","YES","YES","Task/case/package attribution PG; substitution; rollback; reports","Time/Agenda","Central gates and real recorded-work attribution scenario"
"RC-08","Handoff package","Case / Documents / Handoff","778105e3d7535dbdb771b8d8d62de50d81a041e4","Legacy foundation","Canonical backend, panel, routes, and multiple links are present","KEEP_AS_IS","KEEP","None","Only live foundation/acceptance evidence","None","Backend/src/modules/handoff-packages/**; Frontend/src/components/handoff/HandoffPackagePanel.tsx","NO","NO","Regression and live acceptance only","Document","Entry-point/auth regression and hosted scenario"
"RC-09","Legal Analysis surfacing","Documents / Legal Analysis","2570a496d268c5d24457ca6a98160bbf3f1288d1","Legacy foundation; SEC-0B1 hardening","Safe backend and unmounted frontend panel exist","SURFACE_EXISTING","P2_SURFACE","PR94 canonical","Sensitive DTO/auth re-audit before mounting","Small","Frontend/src/components/documents/LegalAnalysisIntakePanel.tsx; Document Workspace","YES","YES","Sensitive gate; UUID substitution; browser discoverability","Backend-Islands-UI","Security tests, central gates, document-workspace browser acceptance"
"RC-10","Search and classification","Global search / Documents","","","Canonical route, TopBar entry, page, adapter, and Case read scope exist","KEEP_AS_IS","KEEP","None","Only acceptance gaps","None","Frontend/src/app/search/page.tsx; Frontend/src/components/TopBar.tsx; Backend/src/modules/documents/routes.ts","NO","NO","Search authorization and UI regression","Document","Regression and scenario evidence only"
"RC-11","Outlook inbound runtime","Communications / Outlook","146539d7116ca90b5ce6086cffe6467ececb6ebe","PR95","Inbound adapter/import exist; PR95 improves workbench and actions","MERGE_CURRENT_RECOVERY","P0_BLOCKED_P1","PR95 repaired and WP stack canonical","mailboxAddress provider-identifier exposure","Medium","Backend/src/modules/communications/**; Frontend communications/notifications","YES","YES","Import/dedupe/auth/sync-result tests; central gates","Communication","Configured hosted sync/import and safe-error acceptance"
