id,type,label,evidence
CAP_CASE_CREATE,CAPABILITY,CASE_CREATE,c0ec1df:Backend/src/modules/cases
CAP_CASE_OVERVIEW,CAPABILITY,CASE_OVERVIEW,ad065f5+current
CAP_WORK_PACKAGE,CAPABILITY,WORK_PACKAGE_RUNTIME,PR96+PR98
CAP_DOCUMENTS,CAPABILITY,DOCUMENT_VERSION,ce55a80+current
CAP_COMPARE,CAPABILITY,DOCUMENT_COMPARISON,4f03b86+509412d
CAP_REVIEW,CAPABILITY,DOCUMENT_REVIEW,d1d8fd6+current
CAP_PORTAL,CAPABILITY,PORTAL_MEMBERSHIP,9809c4c+35ca0e6
CAP_ORG,CAPABILITY,ORGANIZATION_PORTAL,PR72+current
CAP_COMM,CAPABILITY,COMMUNICATION_INBOX,874933a+current
CAP_OUTLOOK,CAPABILITY,OUTLOOK_SYNC,b88fb84+dbf229e
CAP_COMPLIANCE,CAPABILITY,COMPLIANCE,Phase6/7+current
CAP_TIME,CAPABILITY,TIME_ENTRY,d49d410+current
CAP_ANON,CAPABILITY,ANONYMIZATION,SEC-0B1+current
SURF_CASES,PRODUCT_SURFACE,Cases,c0ec1df:Frontend/src/app/cases
SURF_DOCS,PRODUCT_SURFACE,Documents,c0ec1df:Frontend/src/app/cases/[caseId]/documents
SURF_PORTAL,PRODUCT_SURFACE,Portal,c0ec1df:Frontend/src/app/portal
SURF_COMM,PRODUCT_SURFACE,Communications,c0ec1df:Frontend/src/app/communications
SURF_ORG,PRODUCT_SURFACE,Organization,c0ec1df:Frontend/src/app/portal/szervezeti-attekintes
ROUTE_CASES,UI_ROUTE,/cases,current
ROUTE_CASE,UI_ROUTE,/cases/[caseId],current
ROUTE_DOCS,UI_ROUTE,/cases/[caseId]/documents,current
ROUTE_COMPARE,UI_ROUTE,/documents/compare,current
ROUTE_PORTAL,UI_ROUTE,/portal,current
ROUTE_COMM,UI_ROUTE,/communications,current
ROUTE_TIME,UI_ROUTE,/time-entries,current
ROUTE_TASKS,UI_ROUTE,/tasks,current
ROUTE_REVIEWS,UI_ROUTE,/reviews,current
UI_CASES,UI_COMPONENT,CasesList,current
UI_CASE,UI_COMPONENT,CaseDetail,current
UI_DOCS,UI_COMPONENT,DocumentWorkspace,current
UI_COMM,UI_COMPONENT,CommunicationsOverview,current
UI_COMPACT_CASE,UI_COMPONENT,CompactNewCaseDialog,PR98
API_CASE,API_CLIENT_METHOD,createCase,current+PR98
API_DOC,API_CLIENT_METHOD,documentUpload,current
API_COMPARE,API_CLIENT_METHOD,comparisonApi,current+PR94
API_COMM,API_CLIENT_METHOD,communicationsApi,current+PR95
API_OUTLOOK,API_CLIENT_METHOD,outlookSync,PR95
HTTP_CASE,HTTP_ROUTE,cases routes,current
HTTP_DOC,HTTP_ROUTE,documents routes,current
HTTP_COMPARE,HTTP_ROUTE,comparison routes,current
HTTP_COMM,HTTP_ROUTE,communications routes,current
HTTP_OUTLOOK,HTTP_ROUTE,outlook status/sync,PR95
