source,target,type,evidence
CAP_CASE_CREATE,SURF_CASES,DISPLAYED_IN,c0ec1df:CasesList
SURF_CASES,ROUTE_CASES,ROUTES_TO,current route tree
ROUTE_CASES,UI_CASES,IMPLEMENTS,current route file
UI_CASES,API_CASE,CALLS,current API usage
API_CASE,HTTP_CASE,ROUTES_TO,current cases routes
HTTP_CASE,SVC_CASE,CALLS,current cases service
SVC_CASE,MODEL_CASE,WRITES_TO,current service/schema
CAP_WORK_PACKAGE,PR96,DERIVED_FROM,PR96 metadata
CAP_WORK_PACKAGE,PR98,RECOVERS,PR98 metadata
PR98,PR96,STACKED_ON,PR98 authoritative metadata
PR96,SVC_WP,IMPLEMENTS,PR96 diff
SVC_WP,MODEL_WP,WRITES_TO,PR96 diff
CAP_DOCUMENTS,SURF_DOCS,DISPLAYED_IN,current documents page
SURF_DOCS,ROUTE_DOCS,ROUTES_TO,current route tree
ROUTE_DOCS,UI_DOCS,IMPLEMENTS,current route file
UI_DOCS,API_DOC,CALLS,current API usage
API_DOC,HTTP_DOC,ROUTES_TO,current documents routes
HTTP_DOC,SVC_DOC,CALLS,current document services
SVC_DOC,MODEL_DOC,WRITES_TO,current schema/services
CAP_COMPARE,ROUTE_COMPARE,IMPLEMENTS,current comparison routes
CAP_COMPARE,COMMIT_DIFF,DERIVED_FROM,509412d
COMMIT_DIFF,SVC_DIFF,IMPLEMENTS,PR94 diff
SVC_DIFF,MODEL_DOC,READS_FROM,PR94/current
CAP_REVIEW,ROUTE_REVIEWS,DISPLAYED_IN,current review route
CAP_REVIEW,SVC_DOC,DEPENDS_ON,current review/document modules
CAP_PORTAL,SURF_PORTAL,DISPLAYED_IN,current portal tree
CAP_PORTAL,MODEL_PORTAL,AUTHORIZED_BY,current identity/grant model
CAP_ORG,SURF_ORG,DISPLAYED_IN,current org portal
CAP_ORG,CAP_COMPLIANCE,DEPENDS_ON,current org/compliance surfaces
CAP_COMM,SURF_COMM,DISPLAYED_IN,current communications page
SURF_COMM,UI_COMM,IMPLEMENTS,current component
UI_COMM,API_COMM,CALLS,PR95/current
API_COMM,HTTP_COMM,ROUTES_TO,current routes
CAP_OUTLOOK,PR95,DERIVED_FROM,PR95 review
PR95,HTTP_OUTLOOK,IMPLEMENTS,PR95 diff
HTTP_OUTLOOK,SVC_COMM,CALLS,PR95/current
CAP_OUTLOOK,LIVE_OUTLOOK,DEPENDS_ON,external config required
CAP_COMPLIANCE,MODEL_COMP,IMPLEMENTS,Phase6/7 history
CAP_TIME,ROUTE_TIME,DISPLAYED_IN,current route
CAP_ANON,CAP_DOCUMENTS,DEPENDS_ON,current document workflow
CAP_CASE_CREATE,PR98,RECOVERS,PR98 description
CAP_COMPARE,PR94,RECOVERS,PR94 branch
CAP_COMM,BR_PR91,HISTORICAL_BETTER_THAN,peterfi branch evidence in V1
CAP_COMM,BR_PR91,ORPHANED_FROM,not canonical
CAP_OUTLOOK,LIVE_OUTLOOK,NO_LONGER_REACHABLE_FROM,gate/config required
CAP_WORK_PACKAGE,BR_CANON,ORPHANED_FROM,modern path gap at canonical
CAP_COMPARE,BR_CANON,PARTIALLY_CONNECTED,canonical format gate
CAP_PORTAL,CAP_CASE_CREATE,DEPENDS_ON,grant/publication edge
CAP_CASE_CREATE,CAP_WORK_PACKAGE,DEPENDS_ON,product flow evidence
CAP_WORK_PACKAGE,CAP_TIME,DEPENDS_ON,task/time reconnect candidate
CAP_COMPLIANCE,CAP_CASE_CREATE,DEPENDS_ON,finding/proposal to case
TEST_PG,CAP_CASE_CREATE,TESTED_BY,PR98 tests
TEST_PG,CAP_WORK_PACKAGE,TESTED_BY,PR96/PR98 tests
TEST_UI,CAP_PORTAL,TESTED_BY,current/history tests
TEST_SCANNER,LIVE_SCANNER,TESTED_BY,PR97 prior review
PR91,COMMIT_CANON,DERIVED_FROM,PR91 comparison
BR_PR91,PR91,IMPLEMENTS,authoritative PR metadata
BR_CANON,COMMIT_CANON,IMPLEMENTS,git ref
LIVE_AZURE,BR_CANON,DERIVED_FROM,code is not live proof
